State Name,District Name,Dealer Type,Agency Name,Sub District Name,Village Name
West Bengal,Bankura,RETAILER,Pakhanna Skus,Barjora,Pakhanna
West Bengal,Bankura,RETAILER,Palashdanga Skus Ltd,Bankura - II,Pratappur
West Bengal,Bankura,RETAILER,Paresh Nath Mondal,,Sub District Headquater
West Bengal,Bankura,RETAILER,Parsola Anchal Skus Ltd,Simlapal,Parasol
West Bengal,Bankura,RETAILER,Paschim Raipur Anchal Skbs Ltd,Raipur,
West Bengal,Bankura,RETAILER,Patgora Skus Ltd,Raipur,
West Bengal,Bankura,RETAILER,Patharmora Skus,Sonamukhi,Patharmara
West Bengal,Bankura,RETAILER,Pirrahboni Skus Ltd,Gangajalghati,Pirrabani
West Bengal,Bankura,RETAILER,Pitamber Subudhi,,Sub District Headquater
West Bengal,Bankura,RETAILER,Pradip Kr. Laha,Onda,
West Bengal,Bankura,RETAILER,Pradip Sukul,,Sub District Headquater
West Bengal,Bankura,RETAILER,Prakash Skus Ltd,Vishnupur,Prakash
West Bengal,Bankura,RETAILER,Prasanta Kundu,,Sub District Headquater
West Bengal,Bankura,RETAILER,Prasanta Musib,,Sub District Headquater
West Bengal,Bankura,RETAILER,Radhanagar Skus,Vishnupur,Radhanagar
West Bengal,Bankura,RETAILER,Radhanagar Skus Ltd,Taldangra,Radhanagar
West Bengal,Bankura,RETAILER,Radharamanpur Skus,Sonamukhi,Radharamanpur
West Bengal,Bankura,RETAILER,Raghunathpur Skus,Jaypur,Raghunathpur
West Bengal,Bankura,RETAILER,Rahagram Skus,Jaypur,Rajgram
West Bengal,Bankura,RETAILER,Raipur L/S Pacs Ltd,Raipur,
West Bengal,Bankura,RETAILER,Rajakata Skus Ltd,Ranibundh,Rajakata
West Bengal,Bankura,RETAILER,Rajat Kanty Sannigrahi,Khatra,
West Bengal,Bankura,RETAILER,Rajib Gorai,,Sub District Headquater
West Bengal,Bankura,RETAILER,Ramkrishna Fscs,Kotulpur,
West Bengal,Bankura,RETAILER,Ramnagar Layekpara Skus,Simlapal,
West Bengal,Bankura,RETAILER,Rangibari Skus,Khatra,Rangi Bari
West Bengal,Bankura,RETAILER,Ranipur Skus,Mejhia,Ranipur
West Bengal,Bankura,RETAILER,Ranjit Kumar Mal,Vishnupur,Sub District Headquater
West Bengal,Bankura,RETAILER,Rapatganj Skus,Sonamukhi,Rupat Ganj
West Bengal,Bankura,RETAILER,Ratanpur Ancholik Skus,Onda,Ratanpur
West Bengal,Bankura,RETAILER,Rauthkhanda Skus Ltd.,Jaypur,Rautkhanda
West Bengal,Bankura,RETAILER,Salkhara Skus,Patrasayer,Salkhara
West Bengal,Bankura,RETAILER,Santratentulmuri Skus Ltd,Kotulpur,Madanmohan Pur
West Bengal,Bankura,RETAILER,Saradamoni Skus,Kotulpur,Bhagalpur
West Bengal,Bankura,RETAILER,Saraswati Skus Ltd,Raipur,Satpatta
West Bengal,Bankura,RETAILER,Sital Prasad Nandi,,Sub District Headquater
West Bengal,Bankura,RETAILER,Somnath Haldar,,Sub District Headquater
West Bengal,Bankura,RETAILER,Sonamukhi Cadc Fscs Ltd,Sonamukhi,Dhulai
West Bengal,Bankura,RETAILER,Subrata Satpati,Khatra,
West Bengal,Bankura,RETAILER,Sujit Kumar Guin,Kotulpur,Sihar
West Bengal,Bankura,RETAILER,Sukumar Mondal,,Sub District Headquater
West Bengal,Bankura,RETAILER,Sukumar Sen,,
West Bengal,Bankura,RETAILER,Susanta Dey,Khatra,Goala Danga
West Bengal,Bankura,RETAILER,Susruta Banerjee,Sonamukhi,
West Bengal,Bankura,RETAILER,Swapan Sannigrahi,Vishnupur,
West Bengal,Bankura,RETAILER,Taldangra Skus Ltd.,Taldangra,Taldangra
West Bengal,Bankura,RETAILER,Tapan Kumar Khara,Ranibundh,Rudra
West Bengal,Bankura,RETAILER,Uday Sen,Raipur,Amritpal
West Bengal,Bankura,RETAILER,Ujjal Dutta,Onda,
West Bengal,Bankura,RETAILER,Uttarbar Anchal Skus Ltd.,Jaypur,Uttarbar
West Bengal,Bankura,RETAILER,Lodhana Skus,Onda,Lodna
West Bengal,Bankura,RETAILER,Naricha Skus Ltd.,Patrasayer,Naricha
West Bengal,Bankura,RETAILER,Patrasayer Tcms Ltd,Patrasayer,Patrasair
West Bengal,Bankura,RETAILER,Telur Skus Ltd,Patrasayer,
West Bengal,Bankura,RETAILER,Dhengasimul Skus Ltd,Taldangra,Jugda
West Bengal,Bankura,RETAILER,Bibarda Skus Ltd,Taldangra,Bibarda
West Bengal,Bankura,RETAILER,D.R.M.S Lamps Ltd,Raipur,
West Bengal,Bankura,RETAILER,Monoj Kumar Mahanty,Khatra,
West Bengal,Bankura,RETAILER,Chira Sundar Halder,Khatra,
West Bengal,Bankura,RETAILER,Aloke Kumar Dutta,,Sub District Headquater
West Bengal,Bankura,RETAILER,Sujoy Sen,Sarenga,Sukhadali
West Bengal,Bankura,RETAILER,Subhas Chandra Dutta,Khatra,
West Bengal,Bankura,RETAILER,Subal Ghosh,Barjora,
West Bengal,Bankura,RETAILER,Biplab Ghosh,Barjora,
West Bengal,Bankura,RETAILER,Sahapur Skus,Patrasayer,
West Bengal,Bankura,RETAILER,Basudeb Dey,Khatra,Sub District Headquater
West Bengal,Bankura,RETAILER,Asis Kumar Patra,Khatra,Sub District Headquater
West Bengal,Bankura,RETAILER,Subodh Chandra Mondal,Khatra,
West Bengal,Bankura,RETAILER,Ajoy Kumar Khan,Khatra,
West Bengal,Bankura,RETAILER,Biswanath Bhuin,,Sub District Headquater
West Bengal,Bankura,RETAILER,Chelepara Skus Ltd,Raipur,Amchurya
West Bengal,Bankura,RETAILER,Dilip Kumar Barat,,Sub District Headquater
West Bengal,Bankura,RETAILER,Goutam Kumar Ganguli,Raipur,Uparbanda
West Bengal,Bankura,RETAILER,Harasundar S.Mahapatra,Khatra,
West Bengal,Bankura,RETAILER,Helna Susunia Skus Ltd,Bankura - I,Helna
